EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
1,51,0,2,2,6,2,1,1,0,1,0,1,131160,1.0,0,11,8,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3
2,31,1,1,1,10,1,1,1,0,1,6,2,41890,0.0,0,23,8,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4
3,32,0,1,1,17,4,4,1,1,4,7,1,193280,1.0,0,15,8,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3
4,38,0,0,1,2,5,1,1,1,3,1,1,83210,3.0,0,11,8,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3
5,32,0,2,1,10,1,3,1,1,1,7,2,23420,4.0,0,12,8,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3
6,46,0,2,1,8,3,1,1,0,4,5,1,40710,3.0,0,13,8,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3
7,28,1,2,1,11,2,3,1,1,2,7,2,58130,2.0,0,20,8,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4
8,29,0,2,1,18,3,1,1,1,2,7,1,31430,2.0,0,22,8,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4
9,31,0,2,1,1,3,1,1,1,3,2,1,20440,0.0,0,21,8,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4
10,25,0,0,1,7,4,3,1,0,4,2,0,134640,1.0,0,13,8,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3
11,45,0,2,1,17,2,3,1,1,2,2,1,79910,0.0,0,13,8,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3
13,55,0,2,1,14,4,1,1,0,1,7,2,55380,0.0,0,17,8,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3
14,47,1,0,1,1,1,3,1,1,1,6,1,57620,1.0,0,11,8,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3
15,28,0,2,1,1,3,1,1,1,1,4,1,25920,1.0,0,14,8,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3
16,37,0,2,1,1,3,1,1,1,2,0,1,53460,4.0,0,11,8,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3
17,21,0,2,1,3,2,1,1,1,1,2,2,42130,1.0,0,12,8,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3
18,37,0,0,1,1,3,3,1,1,2,7,0,41270,2.0,0,13,8,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3
19,35,0,2,2,7,4,1,1,1,1,8,0,24380,7.0,0,16,8,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3
20,38,0,2,1,8,3,1,1,0,1,3,0,68700,1.0,0,11,8,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3
21,26,0,1,1,1,4,4,1,1,2,2,0,104470,1.0,0,18,8,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3
22,50,0,2,2,8,4,1,1,1,1,6,0,96670,3.0,0,23,8,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4
23,53,0,2,1,11,4,1,1,0,2,6,1,21480,3.0,0,11,8,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3
25,29,0,1,1,16,4,3,1,1,1,2,2,65130,1.0,0,11,8,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3
26,55,0,2,1,1,4,4,1,0,1,6,1,67990,3.0,0,11,8,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3
27,26,0,1,1,9,3,1,1,0,1,3,1,162910,1.0,0,22,8,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4
